IFPID,Question,Description,Rolling Bins,# of Bins,Values Type,Range Low,Range High,Units,State,Start Date,Suspend Date,Closed As Of Date,Outcome
"1449","When will the People's Armed Police or the People's Liberation Army respond to protests in Hong Kong?","Should protests continue, some fear China may respond by dispatching the People's Armed Police (PAP) or the People's Liberation Army (PLA) to intervene (http://warontherocks.com/2014/10/the-hong-kong-countdown/, http://www.janes.com/article/44110/pla-tools-up-in-hong-kong). Only PAP and PLA forces in uniform will count. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-10-15","2015-12-31","",active,"2014-10-15 13:00:00","2015-06-15 06:00:00",,
"1450","When will OPEC next agree to cut its oil output?","Falling oil prices have led to speculation that the Organization of the Petroleum Exporting Countries (OPEC) might collectively cut oil output for the first time in six years on or before their 27 November 2014 meeting (http://www.nytimes.com/2014/10/14/business/energy-environment/oil-prices-fall-as-opec-members-fight-for-market-share.html, http://www.vox.com/2014/10/7/6934819/oil-prices-falling-russia-OPEC-shale-boom-gasoline-prices). Output cuts do not need to take effect for a ""yes"" resolution. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2014-10-15","2015-06-11","",active,"2014-10-15 13:00:00","2015-06-15 06:00:00",,
"1451","When will the Foreign Secretaries from India and Pakistan next hold **official talks?","Indian-Pakistani fighting along the border has recently been at its worst in a decade, despite pledges by both countries to uphold a cease-fire (http://blogs.wsj.com/indiarealtime/2014/10/13/india-pakistan-border-firing-tapers-off-but-diplomatic-tempers-continue-to-flare/, http://www.washingtonpost.com/world/asia_pacific/india-pakistan-exchange-fire-over-kashmir-border/2014/10/07/5a8baf2c-4e00-11e4-877c-335b53ffe736_story.html). In August 2014, India called off talks between the countries' foreign secretaries (http://www.bbc.com/news/world-asia-28832477, http://online.wsj.com/articles/india-cancels-planned-talks-with-pakistan-1408377467). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2014-10-15","2015-06-11","",closed,"2014-10-15 13:00:00","2015-06-15 06:00:00","2014-10-15 13:00:00","2015-03-03 06:00:00"
"1454","What GDP growth rate will Germany **officially report for the third quarter of 2014?","By placing an emphasis on austerity measures to balance the budget, Germany's economic growth has slowed (http://www.reuters.com/article/2014/10/20/germany-economy-bundesbank-idUSL6N0SF28K20141020, http://www.nytimes.com/2014/10/10/business/international/as-growth-in-germany-fades-merkel-hints-at-a-shift-in-economic-policy.html). *Data for Germany's quarter-on-quarter, seasonally adjusted, real GDP growth can be found in the last column of the GDP chart from the German Federal Statistical Office (https://www.destatis.de/EN/FactsFigures/Indicators/ShortTermIndicators/NationalAccounts/kvgr111.html). Outcome will be determined by the official German data referenced above; data for the third quarter will be released by the German Federal Statistical office in mid-November (https://www.destatis.de/EN/Meta/abisz/BIP_e.html).","false",4,number,"-0.8","0.8","%",closed,"2014-10-22 13:00:00","2014-11-14 06:00:00","2014-10-22 13:00:00","0.1"
"1455","When will Iran next host a *head of state from one of the G8 countries or China on an official visit?","Iran has increasingly been engaging with the rest of the world, including participating in talks on the state of the country's nuclear program and seeking membership in the Shanghai Cooperation Organization (http://www.newyorker.com/news/news-desk/irans-dinner-diplomacy, http://thediplomat.com/2014/09/the-new-improved-shanghai-cooperation-organization/). *Heads of state from the G8 countries or China refer to the following people or their successors: Prime Minister Stephen Harper (Canada), President Francois Hollande (France), Chancellor Angela Merkel (Germany), Prime Minister Mateo Renzi (Italy), Prime Minister Shinzo Abe (Japan), Prime Minister David Cameron (United Kingdom), President Barack Obama (United States), President Vladimir Putin (Russia), or President Xi Jinping (China). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2014-10-22","2015-12-31","",active,"2014-10-22 13:00:00","2015-06-15 06:00:00",,
"1456","By how much will Chinese power consumption *grow in 2014?","Chinese power consumption is used as an indicator of economic growth (http://blogs.wsj.com/chinarealtime/2014/01/20/what-chinas-electricity-usage-says-about-growth/). Outcome will be determined by *data for percent change, year-on-year, in power consumption for January to December 2014 from the Chinese National Energy Administration, or credible open source media reporting of such data (e.g., Reuters [http://www.reuters.com/article/2014/10/20/china-power-consumption-idUKL3N0SB36Q20141020], BBC, AP).","false",4,number,"2","8","%",closed,"2014-10-22 13:00:00","2015-06-15 06:00:00","2014-10-22 13:00:00","3.8"
"1457","When will a *no-fly zone over any part of Syria be **officially announced?","Turkey has been pushing for a no-fly zone over Syria as part of the fight against the Islamic State (IS), also known as ISIL or ISIS (http://www.nytimes.com/2014/09/27/world/middleeast/us-considers-a-no-fly-zone-to-protect-civilians-from-airstrikes-by-syria-.html, http://www.reuters.com/article/2014/10/20/us-mideast-crisis-syria-un-idUSKCN0I91O720141020). *A no-fly zone is an area over which aircraft are not permitted to fly. Any no-fly zone over Syria, whether over the whole country or merely part of the country, would count. In addition, a no-fly zone applying only to the aircraft of specific countries or groups and a no-fly zone announced as part of a broader ""buffer zone"" or a ""safe zone"" would count for a ""yes"" resolution. However, a no-fly zone announced by either the Syrian government or the Islamic State would not count. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2014-10-22","2015-12-31","",active,"2014-10-22 13:00:00","2015-06-15 06:00:00",,
"1459","When will Goodluck Jonathan **vacate the office of President of Nigeria?","Besides presidential elections upcoming in February 2015, Nigeria's incumbent president Goodluck Jonathan faces a number of political challenges at home (http://www.bloomberg.com/news/2014-10-15/nigeria-s-old-political-faces-resurface-as-opposition-contenders.html, http://www.nytimes.com/2014/10/24/world/africa/boko-harm-abducts-more-women-despite-claims-of-nigeria-cease-fire.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2014-10-29","2015-12-31","",active,"2014-10-29 14:00:00","2015-06-15 06:00:00",,
"1460","What will the average global temperature (in degrees Celsius) be in 2014?","Following the warmest summer on record, with August and September 2014 also both setting temperature records, the U.S. National Oceanic and Atmospheric Administration (NOAA)'s National Climatic Data Center suggests that 2014 could end up being the warmest year on record (http://www.washingtonpost.com/blogs/capital-weather-gang/wp/2014/10/20/after-record-warm-september-2014-is-on-track-to-warmest-year-noaa-says/, http://www.climatecentral.org/news/2014-on-track-to-be-warmest-year-18205). Outcome will be determined by NOAA (http://www.ncdc.noaa.gov/sotc/) and NASA (http://data.giss.nasa.gov/gistemp/tabledata_v3/GLB.Ts+dSST.txt) or credible open source media reporting of NOAA and NASA data (e.g., Reuters, BBC, AP). The question will remain open until relevant data are released.","false",5,number,"14","15","ºC",closed,"2014-10-29 14:00:00","2015-01-16 03:00:00","2014-10-29 14:00:00","14.59"
"1461","When will there next be a *significant **lethal confrontation between **national military forces from Iran and Pakistan?","Continued border skirmishes have raised questions about whether the dispute between Iran and Pakistan will escalate; diplomats have committed to increasing border control but the situation on the ground remains tenuous (http://www.bbc.com/news/world-middle-east-29752647, http://www.dawn.com/news/1140773/pakistan-iran-to-strengthen-border-control). A *significant **lethal confrontation would be considered a clash involving both the **national military forces of Iran and the **national military forces of Pakistan (including their respective border guards and members of law enforcement) in which 15 or more fatalities are reported. Any fatalities resulting from the confrontation would count, including the actors directly involved as well as others indirectly involved (e.g., civilians, militias). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2014-10-29","2015-12-31","",active,"2014-10-29 14:00:00","2015-06-15 06:00:00",,
"1462","When will Iraq's parliament approve the creation of an Iraqi National Guard?","A plan to create an Iraqi National Guard is a US-backed project to integrate tribal militias into a fighting force to counter the growing threat from the Islamic State; Prime Minister Abadi submitted the idea to Parliament as part of his plan of action in mid-October (http://www.al-monitor.com/pulse/originals/2014/09/iraq-national-guard-sunni-militias.html, http://online.wsj.com/articles/u-s-backed-plan-for-iraqi-national-guard-unraveling-1413493028, http://www.bloomberg.com/news/2014-10-13/sunni-reawakening-in-iraq-hinges-on-national-guard.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2014-10-29","2015-12-31","",active,"2014-10-29 14:00:00","2015-06-15 06:00:00",,
"1463","When will Iran release Jason Rezaian?","For details of the case involving Jason Rezaian, the Washington Post correspondent being held in Iran, see http://www.washingtonpost.com/world/middle_east/iranian-official-washington-post-journalist-could-be-freed-in-less-than-a-month/2014/11/06/f37a4092-65be-11e4-bb14-4cfea1e742d5_story.html and http://www.washingtonpost.com/world/national-security/washington-post-reporter-facing-interrogation-iranian-official-says/2014/09/17/b9b4f2b4-3e98-11e4-9587-5dafd96295f0_story.html. For a ""yes"" resolution, Rezaian must be released from custody and have the ability to leave the country. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2014-11-12","2015-06-11","",active,"2014-11-12 13:00:00","2015-06-15 06:00:00",,
"1464","When will the spot price of iron ore next fall below $71.00 per ton?","With prices already at a five-year low, there is worry that oversupply will drive prices even lower (http://www.smh.com.au/business/mining-and-resources/chinese-traders-tip-iron-ore-to-hit-us70-20141106-11hwam.html, http://www.bloomberg.com/news/2014-11-07/vale-says-global-iron-ore-market-won-t-be-oversupplied-forever.html). Outcome will be determined by the lowest iron ore spot price reported in credible open source media (e.g., Reuters, BBC, AP).","true",5,date,"2014-11-12","2015-06-01","",closed,"2014-11-12 13:00:00","2015-06-15 06:00:00","2014-11-12 13:00:00","2014-11-19 06:00:00"
"1465","When will **national or **multinational military forces *intervene against the Forces Démocratiques de Libération du Rwanda (FDLR) in the Democratic Republic of Congo?","Defense and foreign ministers from the Great Lakes and Southern African regions resolved in late October 2014 that military action could be taken against the Forces Démocratiques de Libération du Rwanda (FDLR) in the Democratic Republic of Congo (DRC) if the group does not disarm and surrender by January 2015 (http://allafrica.com/stories/201410211526.html). *An intervention would be a national- or supranational-level political decision to use **national military forces, whether alone or as part of a **multinational force, to end the FDLR's insurgency in the DRC (e.g., with airstrikes or the deployment of ground troops). The provision of support services alone would not count for a ""yes"" resolution (e.g., providing surveillance, transferring military equipment, sending military advisers). Inadvertent shelling or border crossing would also not count. For the purposes of this question, the acting countries or multinational organizations must acknowledge the intervention, though they do not need to use this term specifically. Whether the intervention is done with the assent of the government of the DRC is irrelevant. Outcome will be determined by credible open source media reports (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-11-12","2015-12-31","",active,"2014-11-12 13:00:00","2015-06-15 06:00:00",,
"1466","When will NATO next invoke Article 5 of the North Atlantic Treaty?","The North Atlantic Treaty is the founding document of the NATO alliance; Article 5 is the part of that treaty that establishes the principle of collective defense, under which an attack on any member is regarded as an attack on all members (http://www.nato.int/terrorism/five.htm, http://www.nato.int/cps/en/natolive/topics_67656.htm). Outcome will be determined by **official announcements or credible open source media reporting (e.g., Reuters, BBC, AP) of those announcements.","false",5,date,"2014-11-12","2015-12-31","",active,"2014-11-12 13:00:00","2015-06-15 06:00:00",,
"1467","When will negotiations on the Trans-Pacific Partnership (TPP) be completed?","TPP negotiations among twelve Pacific Rim nations have stalled; the parties met in early November 2014 as part of the Asia Pacific Economic Cooperation meetings in Beijing (http://www.reuters.com/article/2014/11/10/us-china-apec-usa-idUSKCN0IU0CW20141110, http://www.washingtonpost.com/world/japans-abe-says-tpp-trade-talks-with-us-are-near-the-final-stage/2014/11/07/24ba0b42-63a8-11e4-ab86-46000e1d0035_story.html). *Trade promotion authority, also called fast-track negotiation authority, must be passed by both houses of Congress for a ""yes"" resolution (http://online.wsj.com/articles/a-fresh-start-for-pacific-trade-1415577301, http://www.washingtonpost.com/posteverything/wp/2014/11/03/could-a-gop-senate-takeover-jumpstart-obamas-foreign-policy/). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-11-12","2015-12-31","",active,"2014-11-12 13:00:00","2015-06-15 06:00:00",,
"1468","When will France next deliver a Mistral-class ship to Russia?","France and Russia signed a deal for the delivery of two Mistral-class helicopter carriers, but delivery was delayed over the crisis in Ukraine; Russia is now threatening France if it does not deliver the carriers before 1 December 2014 (http://www.rferl.org/content/report-russia-gives-france-deadline-to-deliver-warship/26691527.html, http://www.reuters.com/article/2014/11/14/us-russia-france-mistral-idUSKCN0IY0XO20141114). Delivery of one of the carriers would suffice. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-11-19","2015-12-31","",active,"2014-11-19 13:00:00","2015-06-15 06:00:00",,
"1470","When will Mariano Rajoy **vacate the office of Prime Minister of Spain?","Prime Minister Rajoy faces rising anger in Spain over corruption in the political system (http://www.independent.co.uk/news/world/europe/embattled-spanish-pm-mariano-rajoy-attempts-to-soothe-irate-public-over-corruption-9826790.html, http://www.ft.com/intl/cms/s/0/e2362e6a-64e5-11e4-ab2d-00144feabdc0.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-11-19","2015-12-31","",active,"2014-11-19 13:00:00","2015-06-15 06:00:00",,
"1471","When will Russia next launch an intercontinental ballistic missile (ICBM)?","Russia has recently been exercising all three components of its nuclear triad (http://www.janes.com/article/45524/russia-exercises-its-strategic-nuclear-triad, http://www.naval-technology.com/news/newsrussia-confirms-plans-to-conduct-bulava-missile-test-4436141). A launch of either a land-based or submarine-launched ICBM, for testing or military purposes, would count. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-11-19","2015-06-11","",closed,"2014-11-19 13:00:00","2015-06-15 06:00:00","2014-11-19 13:00:00","2014-11-28 06:00:00"
"1472","When will negotiations on the Transatlantic Trade and Investment Partnership (TTIP) be completed?","Negotiations over the TTIP have stalled as a result of disagreement, among other issues, on the inclusion of an Investor-State Dispute Settlement (ISDS) provision (http://www.reuters.com/article/2014/10/30/us-usa-trade-ttip-idUSKBN0IJ2FC20141030, http://www.economist.com/news/finance-and-economics/21623756-governments-are-souring-treaties-protect-foreign-investors-arbitration, http://www.ustr.gov/about-us/press-office/blog/2014/March/Facts-Investor-State%20Dispute-Settlement-Safeguarding-Public-Interest-Protecting-Investors). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-11-19","2015-12-31","",active,"2014-11-19 13:00:00","2015-06-15 06:00:00",,
"1473","When will a free trade agreement between India and Israel be **officially reached?","India and Israel have been negotiating the terms of a free trade agreement for over three years (http://www.reuters.com/article/2014/11/23/us-india-israel-ties-idUSKCN0J70L520141123, http://www.thehindubusinessline.com/economy/indoisrael-fta-likely-by-yearend/article6192982.ece). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements. ","true",5,date,"2014-12-03","2015-12-31","",active,"2014-12-03 11:00:00","2015-06-15 06:00:00",,
"1474","When will Benjamin Netanyahu **vacate the office of Prime Minister of Israel?","Israeli Prime Minister Benjamin Netanyahu has come under pressure for making unpopular political decisions (http://www.nytimes.com/2014/12/03/world/middleeast/israel-netanyahu-cabinet-elections.html). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2014-12-03","2015-06-11","",active,"2014-12-03 11:00:00","2015-06-15 06:00:00",,
"1476","When will Standard & Poor's downgrade Russia's foreign currency credit rating to BB+ or below?","In April 2014, major credit rating agencies downgraded Russia's foreign currency credit rating, leaving the country's bonds at BBB-, the lowest investment grade according to Standard & Poor's (http://www.bloomberg.com/news/2014-10-24/russia-credit-rating-kept-above-junk-by-s-p-on-reserves.html, http://www.standardandpoors.com/ratings/definitions-and-faqs/en/us). Outcome will be determined by Standard and Poor's (e.g., http://www.standardandpoors.com/en_US/web/guest/ratings/press-releases) or credible open source media reporting of S&P data (e.g., Reuters, BBC, AP). If the resolution criteria are not met, GJP will assume the following as the ""status quo"" outcome: Standard & Poor's has not downgraded Russia's foreign currency credit rating to BB+ or below.","true",5,date,"2014-12-03","2015-12-31","",closed,"2014-12-03 11:00:00","2015-06-15 06:00:00","2014-12-03 11:00:00","2015-01-26 06:00:00"
"1477","When will the IMF **officially announce that the Chinese renminbi will be added to its Special Drawing Rights (SDR)?","The IMF's Special Drawing Rights, an international reserve asset currently valued based on a basket of four key international currencies, will be up for review in 2015 (http://www.imf.org/external/np/exr/facts/sdr.HTM, http://www.reuters.com/article/2014/10/29/china-summit-reserves-reuters-summit-idUSL4N0SO3VK20141029). The inclusion of the renminbi does not need to take effect for a ""yes"" resolution. Outcome will be determined by credible open source media reports (e.g., Reuters, BBC, AP) or **official announcements. If the resolution criteria are not met, GJP will assume the following as the ""status quo"" outcome: the IMF has not **officially announced that the Chinese renminbi will be added to its Special Drawing Rights.","true",5,date,"2014-12-03","2015-12-31","",active,"2014-12-03 11:00:00","2015-06-15 06:00:00",,
"1478","When will China next allow any members of the UK Parliament's Foreign Affairs Committee to enter Hong Kong?","China has banned members of the British Foreign Affairs Committee from entering Hong Kong (http://www.bbc.com/news/uk-politics-30275320, http://www.scmp.com/news/hong-kong/article/1657348/british-mps-barred-hong-kong-stop-oil-being-poured-over-fire-says). The question will resolve as ""yes"" based either on news that China will allow such a visit, or news of committee members actually entering Hong Kong. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2014-12-10","2015-06-11","",active,"2014-12-10 13:00:00","2015-06-15 06:00:00",,
"1479","When will there be a new *confirmed case of Ebola in Nigeria?","The WHO declared the end of the Ebola outbreak in Nigeria on 20 October 2014 (http://www.who.int/mediacentre/news/statements/2014/nigeria-ends-ebola/en/). Only a new *confirmed case will count; cases reported as ""suspected"" during the question's open period will not count even if they are ""confirmed"" after the question's close date. Where a person contracts Ebola is irrelevant for the resolution of this question; however, patients who are confirmed or suspected of having Ebola elsewhere and are transported to Nigeria for treatment or observation will not count. Outcome will be determined either by the World Health Organization (e.g., http://www.who.int/csr/don/archive/disease/ebola/en/), the UN Mission for Ebola Emergency Response (e.g., http://www.un.org/ebolaresponse/index.shtml, the government of Nigeria (e.g., http://www.health.gov.ng/index.php/news-media/press-releases), or by reporting from credible open source media (e.g., Reuters, BBC, AP).","true",5,date,"2014-12-10","2015-12-31","",active,"2014-12-10 13:00:00","2015-06-15 06:00:00",,
"1480","When will Russia **officially withdraw from the Intermediate-Range Nuclear Forces (INF) Treaty?","The United States accused Russia of violating the INF, a 1987 agreement between the US and the USSR, in July 2014 (http://www.nytimes.com/2014/07/29/world/europe/us-says-russia-tested-cruise-missile-in-violation-of-treaty.html, http://www.armscontrol.org/factsheets/INFtreaty). The question will resolve as ""yes"" based either on news that Russia has **officially announced its plans to withdraw, or news of Russia's actual withdrawal from the treaty. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2014-12-10","2015-12-31","",active,"2014-12-10 13:00:00","2015-06-15 06:00:00",,
"1482","When will Jordan experience an episode of **significant domestic political unrest?","This is a ""fuzzy set"" question. For more information on fuzzy set questions, see https://www.goodjudgmentproject.com/clarifications/fsq0.html. For specific information on what constitutes an episode of **significant domestic political unrest, please visit: https://www.goodjudgmentproject.com/clarifications/fsq1.html. ","true",5,date,"2014-12-10","2015-12-31","",active,"2014-12-10 13:00:00","2015-06-15 06:00:00",,
"1481","How many *new countries will confirm cases of the H5N8 virus **between 10 December 2014 and 1 April 2015?","H5N8 is a type of bird flu, the most recent strain of which has emerged in Europe, that could cause serious economic losses for the industry and could potentially pose a threat to public health (http://www.reuters.com/article/2014/11/18/us-health-birdflu-britain-idUSKCN0J21N320141118). *New countries refer to those other than the UK, the Netherlands, Germany, as well as South Korea, Japan, and China, where cases have been reported throughout 2014. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or data from the World Organisation for Animal Health (http://www.oie.int/en/animal-health-in-the-world/update-on-avian-influenza/2014/). If the resolution criteria are not met, GJP will assume the following as the ""status quo"" outcome: no *new countries have confirmed cases of the H5N8 virus during the question's open period.","false",4,number,"0","6","countries",closed,"2014-12-11 04:00:00","2015-06-15 06:00:00","2014-12-11 04:00:00","6.0"
"1484","What will be the change in world economic output for 2014, according to the International Monetary Fund's April 2015 World Economic Outlook report?","A poll of international investors showed that 38% of those surveyed see the global economy as worsening (http://www.bloomberg.com/news/2014-11-13/world-outlook-darkening-as-89-in-poll-see-europe-deflation-risk.html). The question will be resolved based on information provided in the first row of Table A1 of the International Monetary Fund's first World Economic Outlook (WEO) report published in 2015. WEO is routinely published in April and October of each year, and the April version includes estimates of annual change in output (year-over-year) for the preceding year. The October 2014 report can be seen here: http://www.imf.org/external/Pubs/ft/weo/2014/02/pdf/text.pdf. ","false",5,number,"2.8","3.8","%",closed,"2015-01-07 13:00:00","2015-06-15 06:00:00","2015-01-07 13:00:00","3.4"
"1485","When will Venezuela default on its foreign-currency debt?","Plummeting oil prices are threatening the country's main source of revenue, and Venezuela has already defaulted on much of its domestic debt (http://www.businessweek.com/articles/2014-12-18/venezuela-default-likely-according-to-markets, http://www.bloomberg.com/news/2015-01-04/maduro-travels-to-china-for-financing-opec-nations-for-oil-plan.html). A country is generally considered in default when it fails to pay out, in full, its matured bonds. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","true",5,date,"2015-01-07","2015-06-11","",active,"2015-01-07 13:00:00","2015-06-15 06:00:00",,
"1486","When will Cuba next experience an episode of **significant domestic political unrest?","This is a ""fuzzy set"" question. For more information on fuzzy set questions, see https://www.goodjudgmentproject.com/clarifications/fsq0.html. For specific information on what constitutes an episode of **significant domestic political unrest, please visit: https://www.goodjudgmentproject.com/clarifications/fsq1.html. ","true",5,date,"2015-01-07","2015-12-31","",active,"2015-01-07 13:00:00","2015-06-15 06:00:00",,
"1487","When will there next be a **lethal confrontation between **national military forces in the East China Sea?","In mid-December, two Chinese naval vessels were reported to have come within 44 miles of the Diaoyu/Senkaku islands, the closest approach since the dispute erupted in 2012 (http://sinosphere.blogs.nytimes.com/2015/01/01/china-japan-dispute-over-islands-spreads-to-cyberspace/?_r=0). For more information on the East China Sea, as well as a map of disputed territories, see: http://www.cfr.org/Asia-and-pacific/chinas-maritime-disputes/p31345. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP). ","true",5,date,"2015-01-07","2015-12-31","",active,"2015-01-07 13:00:00","2015-06-15 06:00:00",,
"1488","When will the end-of-day U.S. dollar-Russian ruble exchange rate next close at 45.00 or below?","The ruble lost more than 40% against the dollar in 2014 (http://www.wsj.com/articles/ruble-falls-on-first-trading-day-of-2015-1420466328). Outcome will be determined by the end-of-day closing value reported by Bloomberg, at http://www.bloomberg.com/quote/usdrub:cur. For historical trends, see http://www.bloomberg.com/quote/usdrub:cur/chart. In case of delayed reporting or problems with the Bloomberg website, reporting by other credible open sources may be used.","true",5,date,"2015-01-07","2015-06-11","",active,"2015-01-07 13:00:00","2015-06-15 06:00:00",,
"1489","When will Russia and China hold joint naval exercises in the Mediterranean Sea?","Moscow appears to be aiming to solidify closer military, political, and industrial cooperation with China (http://www.defensenews.com/story/defense/commentary/2015/01/03/thought-leaders-russia/21190035/, http://news.usni.org/2014/11/20/russia-china-hold-2015-naval-exercises-mediterranean-pacific). The naval exercises must commence for a ""yes"" resolution. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2015-01-14","2015-06-11","",closed,"2015-01-14 13:00:00","2015-06-15 06:00:00","2015-01-14 13:00:00","2015-05-11 06:00:00"
"1490","When will the People's Bank of China next reach a bilateral currency swap **agreement with the United States Federal Reserve?","The People's Bank of China has negotiated around 25 bilateral currency swap agreements with central banks around the world, making it easier for the partners to conduct cross-border trade and direct investment in renminbi (http://blogs.wsj.com/moneybeat/2013/10/10/qa-whats-a-currency-swap-line/, http://www.ft.com/intl/cms/s/0/d79001d8-10b8-11e4-812b-00144feabdc0.html, http://www.bloomberg.com/news/2014-10-13/russia-china-sign-currency-swap-agreement-to-double-100b-trade.html). The time frame of the swaps in such agreements is irrelevant (e.g., both temporary liquidity swap lines and long term swap lines would count); however, interest rate swaps would not qualify. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements. ","true",5,date,"2015-01-14","2015-12-31","",active,"2015-01-14 13:00:00","2015-06-15 06:00:00",,
"1492","When will the government of Myanmar **officially sign a ceasefire agreement with the Nationwide Ceasefire Coordination Team?","The government's Union Peacemaking Work Committee (UPWC) and the rebels' Nationwide Ceasefire Coordination Team (NCCT), have resumed negotiations toward a nationwide ceasefire agreement (http://www.rfa.org/english/news/myanmar/peace-talks-continue-12172014145729.html, http://www.mmpeacemonitor.org/stakeholders/myanmar-peace-center/192-ncct). Membership changes to the NCCT, or an official name change, will not affect the resolution of the question. If the NCCT disbands the question will close as ""no."" Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2015-01-14","2015-06-11","",active,"2015-01-14 13:00:00","2015-06-15 06:00:00",,
"1493","When will Petrobras report its earnings for the third quarter of 2014? ","Brazil's state-controlled oil producer, Petrobras, has violated its bond terms by failing to report its earnings; this could lead to the company being declared in technical default (http://www.reuters.com/article/2014/12/29/us-brazil-petrobras-bonds-idUSKBN0K71JB20141229, http://www.reuters.com/article/2015/01/06/brazil-petrobras-creditors-idUSE6N0RP03E20150106). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","true",5,date,"2015-01-14","2015-06-11","",closed,"2015-01-14 13:00:00","2015-07-15 06:00:00","2015-01-14 13:00:00","2015-01-28 06:00:00"
"1491","How many countries will **officially submit a claim to the North Pole to the United Nations **between 14 January and 9 June 2015?","In December, Denmark submitted its official claim to the North Pole to the UN; Russia and Canada are angling to do the same (http://www.ft.com/intl/cms/s/0/b7e66b1c-8442-11e4-8cc5-00144feabdc0.html, http://www.adn.com/article/20141217/russia-follow-denmark-arctic-shelf-claim-march). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP), **official announcements, or the UN Commission on the Limits of the Continental Shelf (http://www.un.org/depts/los/clcs_new/commission_submissions.htm). ","false",4,number,"0","6","countries",active,"2015-01-14 13:00:00","2015-06-15 06:00:00",,
"1494","When will there next be an **attack carried out by Islamist militants in France, the UK, Germany, the Netherlands, Denmark, Spain, Portugal, or Italy?","The attack on the French newspaper Charlie Hebdo has set France on edge at a time when Islamist militant activity has become a central concern of security officials across Europe (http://www.bbc.com/news/world-europe-30710883; http://www.reuters.com/article/2015/01/11/us-france-shooting-idUSKBN0KK05S20150111). Individual acts of violence perpetrated by non-state actors (e.g., the use of explosive devices, projectiles, or knives) would count. Attribution and outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP). In cases of substantial controversy or uncertainty, Administrator reserves the right to consult outside experts about how to proceed and/or void the question.","true",5,date,"2015-01-21","2015-12-31","",closed,"2015-01-21 13:00:00","2015-06-15 06:00:00","2015-01-21 13:00:00","2015-02-03 06:00:00"
"1495","When will a new round of family reunions between North and South Korea begin?","South Korean President Park Geun-hye has proposed holding another round of reunions among families separated by the Korean War (http://www.koreatimes.co.kr/www/news/nation/2015/01/116_171585.html). The reunions must commence for a ""yes"" resolution. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP). ","true",5,date,"2015-01-21","2015-06-11","",active,"2015-01-21 13:00:00","2015-06-15 06:00:00",,
